league,season,team,player,league_id,season,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,source,player_std
ENG-Premier League,1920,Bournemouth,Charlie Daniels,1,2019,73,459,D,2,126,0,0.0,0,0.0,0,0.14172199368476868,0,2,0,0,0.49434399604797363,0.4184969961643219,understat,charlie daniels
ENG-Premier League,1920,Bournemouth,Chris Mepham,1,2019,73,7384,D S,12,909,1,1.0533044748008251,1,1.0533044748008251,0,0.07673639804124832,7,1,1,0,0.943722490221262,0.7480954900383949,understat,chris mepham
ENG-Premier League,1920,Bournemouth,Dan Gosling,1,2019,73,462,M S,24,1255,3,2.929864052683115,3,2.929864052683115,1,1.369174674153328,13,10,3,0,3.7870463207364082,1.4419024251401424,understat,dan gosling
ENG-Premier League,1920,Bournemouth,David Brooks,1,2019,73,6820,M S,9,533,1,0.43261139281094074,1,0.43261139281094074,0,0.534646600484848,6,6,1,0,0.8643895983695984,0.13210549764335155,understat,david brooks
ENG-Premier League,1920,Bournemouth,Diego Rico,1,2019,73,5065,D,27,2346,0,0.33659479580819607,0,0.33659479580819607,4,2.5829767948016524,11,31,6,0,4.199678809382021,3.4121973905712366,understat,diego rico
ENG-Premier League,1920,Bournemouth,Dominic Solanke,1,2019,73,1679,F M S,32,1617,3,4.439335510134697,3,4.439335510134697,1,1.053561699576676,32,15,1,0,6.863941753283143,2.4171565398573875,understat,dominic solanke
ENG-Premier League,1920,Bournemouth,Harry Wilson,1,2019,73,5596,F M S,31,1672,7,4.164999137632549,7,4.164999137632549,0,2.217742595821619,56,14,2,0,7.9218197055161,4.210729802027345,understat,harry wilson
ENG-Premier League,1920,Bournemouth,Jack Simpson,1,2019,73,6410,D S,4,237,0,0.011818800121545792,0,0.011818800121545792,0,0.034685298800468445,1,1,0,0,0.046504098922014236,0.0,understat,jack simpson
ENG-Premier League,1920,Bournemouth,Jack Stacey,1,2019,73,7823,D S,19,1553,0,0.5616067014634609,0,0.5616067014634609,2,2.4069034699350595,5,10,2,0,5.1768355099484324,3.1207157438620925,understat,jack stacey
ENG-Premier League,1920,Bournemouth,Jefferson Lerma,1,2019,73,2182,M S,33,2724,1,0.8153309905901551,1,0.8153309905901551,2,1.5313026988878846,30,11,11,1,8.758196957409382,8.174159379675984,understat,jefferson lerma
ENG-Premier League,1920,Bournemouth,Jordon Ibe,1,2019,73,481,S,2,39,0,0.0,0,0.0,0,0.0,0,0,0,0,0.02199850045144558,0.02199850045144558,understat,jordon ibe
ENG-Premier League,1920,Bournemouth,Joshua King,1,2019,73,465,F M S,26,2033,6,6.534089034423232,3,4.250656159594655,4,4.133097622543573,26,30,0,0,8.37335154414177,3.021743267774582,understat,joshua king
ENG-Premier League,1920,Bournemouth,Junior Stanislas,1,2019,73,463,D M S,15,706,3,1.8708659801632166,2,1.1096971053630114,0,0.9225293016061187,17,12,1,0,2.2527448143810034,1.5802903287112713,understat,junior stanislas
ENG-Premier League,1920,Bournemouth,Lewis Cook,1,2019,73,1789,M S,27,1331,0,0.24775349907577038,0,0.24775349907577038,0,0.5486510917544365,9,11,5,0,3.170846275985241,2.7135865036398172,understat,lewis cook
ENG-Premier League,1920,Bournemouth,Lloyd Kelly,1,2019,73,8090,D S,8,634,0,0.035675499588251114,0,0.035675499588251114,0,0.13822199404239655,1,1,2,0,0.6540593802928925,0.5158373862504959,understat,lloyd kelly
ENG-Premier League,1920,Bournemouth,Mark Travers,1,2019,73,7582,GK,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.019804799929261208,0.019804799929261208,understat,mark travers
ENG-Premier League,1920,Bournemouth,Nathan Aké,1,2019,73,579,D,29,2503,2,3.051248326897621,2,3.051248326897621,2,1.9629198797047138,25,7,2,0,3.5454949606209993,2.957150461152196,understat,nathan aké
ENG-Premier League,1920,Bournemouth,Philip Billing,1,2019,73,6034,M S,34,2542,1,2.2746941074728966,1,2.2746941074728966,1,1.43443089351058,33,15,8,0,6.998952125199139,5.092860587872565,understat,philip billing
