league_name,season_id,team_id,player_id,position,matches,minutes,goals,assists,xg,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,source
ESP-La Liga,2020,146,8058,D S,29,2144,1,1,0.3595939017832279,1.1651449976488948,8,18,4,1,5.0497260838747025,3.917215147987008,understat
ESP-La Liga,2020,146,2479,D S,15,719,1,0,0.7944589704275131,0.28846920281648636,2,3,3,0,1.2106845863163471,1.0473135821521282,understat
ESP-La Liga,2020,146,2479,D S,15,719,1,0,0.7944589704275131,0.28846920281648636,2,3,3,0,1.2106845863163471,1.0473135821521282,understat
ESP-La Liga,2020,146,7330,M S,31,2199,1,1,1.586312159895897,0.22449240274727345,37,9,6,0,5.118706841021776,3.8183678910136223,understat
ESP-La Liga,2020,146,7330,M S,31,2199,1,1,1.586312159895897,0.22449240274727345,37,9,6,0,5.118706841021776,3.8183678910136223,understat
ESP-La Liga,2020,146,8149,M S,4,241,0,0,0.019875500351190567,0.05500910058617592,1,2,1,0,0.7701888233423233,0.7327962927520275,understat
ESP-La Liga,2020,146,8149,M S,4,241,0,0,0.019875500351190567,0.05500910058617592,1,2,1,0,0.7701888233423233,0.7327962927520275,understat
ESP-La Liga,2020,146,8771,M S,32,1534,1,0,1.203802582807839,0.9262427315115929,7,8,2,0,2.9612168855965137,0.9756582230329514,understat
ESP-La Liga,2020,146,8771,M S,32,1534,1,0,1.203802582807839,0.9262427315115929,7,8,2,0,2.9612168855965137,0.9756582230329514,understat
ESP-La Liga,2020,146,7402,M S,13,585,1,0,0.4101374074816704,0.3635252024978399,7,8,1,0,1.7991429157555103,1.0576932225376368,understat
ESP-La Liga,2020,146,7402,M S,13,585,1,0,0.4101374074816704,0.3635252024978399,7,8,1,0,1.7991429157555103,1.0576932225376368,understat
ESP-La Liga,2020,154,608,D S,5,188,0,0,0.21561869978904724,0.0,4,0,0,0,0.7957626841962337,0.7571726851165295,understat
ESP-La Liga,2020,154,608,D S,5,188,0,0,0.21561869978904724,0.0,4,0,0,0,0.7957626841962337,0.7571726851165295,understat
ESP-La Liga,2020,154,2521,D M S,29,2118,1,2,1.5117997992783785,4.143187211826444,22,27,8,0,9.156596440821886,5.444887790828943,understat
ESP-La Liga,2020,154,2521,D M S,29,2118,1,2,1.5117997992783785,4.143187211826444,22,27,8,0,9.156596440821886,5.444887790828943,understat
ESP-La Liga,2020,154,1125,F S,23,778,5,0,3.8071113489568233,1.2340887300670147,20,5,1,0,5.415433291345835,1.0288294963538647,understat
ESP-La Liga,2020,154,1125,F S,23,778,5,0,3.8071113489568233,1.2340887300670147,20,5,1,0,5.415433291345835,1.0288294963538647,understat
ESP-La Liga,2020,154,2378,M,36,3135,3,5,1.448948715813458,5.407743508927524,27,44,4,0,19.97213601693511,17.083878856152296,understat
ESP-La Liga,2020,154,2378,M,36,3135,3,5,1.448948715813458,5.407743508927524,27,44,4,0,19.97213601693511,17.083878856152296,understat
ESP-La Liga,2020,154,5136,D S,25,1153,0,0,0.47782869823276997,1.8179207807406783,10,17,1,0,5.742749605327845,4.302823759615421,understat
ESP-La Liga,2020,154,5136,D S,25,1153,0,0,0.47782869823276997,1.8179207807406783,10,17,1,0,5.742749605327845,4.302823759615421,understat
ESP-La Liga,2020,154,572,M S,16,1221,1,0,0.29741049744188786,0.17163850367069244,8,3,5,1,2.8070947863161564,2.4912032783031464,understat
ESP-La Liga,2020,154,572,M S,16,1221,1,0,0.29741049744188786,0.17163850367069244,8,3,5,1,2.8070947863161564,2.4912032783031464,understat
ESP-La Liga,2020,154,8271,F S,17,598,3,0,4.1013268530368805,0.21315680257976055,14,4,1,0,5.051369108259678,1.3889981787651777,understat
ESP-La Liga,2020,154,8271,F S,17,598,3,0,4.1013268530368805,0.21315680257976055,14,4,1,0,5.051369108259678,1.3889981787651777,understat
ESP-La Liga,2020,154,497,M S,22,717,0,0,0.20654520019888878,0.6972058117389679,4,4,4,0,3.3192016296088696,2.547327671200037,understat
ESP-La Liga,2020,154,497,M S,22,717,0,0,0.20654520019888878,0.6972058117389679,4,4,4,0,3.3192016296088696,2.547327671200037,understat
ESP-La Liga,2020,154,2120,F M S,33,2680,23,7,19.52813282236457,7.810236010700464,98,43,3,0,23.263547345995903,6.95129581913352,understat
ESP-La Liga,2020,154,2120,F M S,33,2680,23,7,19.52813282236457,7.810236010700464,98,43,3,0,23.263547345995903,6.95129581913352,understat
ESP-La Liga,2020,154,2225,GK,2,180,0,0,0.0,0.0,0,0,0,0,0.50607630610466,0.50607630610466,understat
ESP-La Liga,2020,154,2225,GK,2,180,0,0,0.0,0.0,0,0,0,0,0.50607630610466,0.50607630610466,understat
ESP-La Liga,2020,154,2539,D S,14,330,0,1,0.06227810122072697,0.2860968057066202,2,5,1,0,2.3392354901880026,2.121121196076274,understat
ESP-La Liga,2020,154,2539,D S,14,330,0,1,0.06227810122072697,0.2860968057066202,2,5,1,0,2.3392354901880026,2.121121196076274,understat
ESP-La Liga,2020,154,6306,D M S,16,1171,0,0,0.1376360058784485,0.12319609522819519,1,3,5,0,4.675470802932978,4.629501793533564,understat
ESP-La Liga,2020,154,6306,D M S,16,1171,0,0,0.1376360058784485,0.12319609522819519,1,3,5,0,4.675470802932978,4.629501793533564,understat
ESP-La Liga,2020,154,2301,F M S,35,2558,1,6,2.225357030518353,4.772484155371785,30,34,6,1,16.826011911034584,11.41921392083168,understat
ESP-La Liga,2020,154,2301,F M S,35,2558,1,6,2.225357030518353,4.772484155371785,30,34,6,1,16.826011911034584,11.41921392083168,understat
ESP-La Liga,2020,154,2296,D S,24,1853,0,2,1.1241292040795088,2.363355714827776,16,12,3,0,10.088548168540001,7.971955073997378,understat
ESP-La Liga,2020,154,2296,D S,24,1853,0,2,1.1241292040795088,2.363355714827776,16,12,3,0,10.088548168540001,7.971955073997378,understat
ESP-La Liga,2020,154,2198,F M S,35,2586,4,0,4.155802518129349,2.7697704043239355,23,31,1,0,11.581357937306166,7.4852192886173725,understat
ESP-La Liga,2020,154,2198,F M S,35,2586,4,0,4.155802518129349,2.7697704043239355,23,31,1,0,11.581357937306166,7.4852192886173725,understat
ESP-La Liga,2020,154,2380,F S,27,1568,6,4,8.916550623252988,3.049871390685439,37,16,0,0,10.210286812856793,1.460300287231803,understat
ESP-La Liga,2020,154,2380,F S,27,1568,6,4,8.916550623252988,3.049871390685439,37,16,0,0,10.210286812856793,1.460300287231803,understat
ESP-La Liga,2020,154,6221,D,33,2970,2,2,1.0819476963952184,0.7952973991632462,8,6,2,0,11.663440612144768,11.333519794978201,understat
